Date,Time,Open,High,Low,Close,Vol
02/28/2020,23:00,125.74,138.1,122.3,133.6,122820855
03/02/2020,23:00,142.25,148.74,137.33,148.72,100974955
03/03/2020,23:00,161,161.4,143.22,149.1,128920015
03/04/2020,23:00,152.79,153.3,144.95,149.9,75244885
03/05/2020,23:00,144.75,149.15,143.61,144.91,54263285
03/06/2020,23:00,138,141.4,136.85,140.7,63314590
03/09/2020,23:00,121.08,132.6,121,121.6,85368700
03/10/2020,23:00,131.89,133.6,121.6,129.07,77972215
03/11/2020,23:00,128,130.72,122.6,126.85,67067935
03/12/2020,23:00,116.18,118.9,109.25,112.11,94545260
03/13/2020,23:00,119,121.51,100.4,109.32,113201270
03/16/2020,23:00,93.9,98.97,88.43,89.01,102447320
03/17/2020,23:00,88,94.37,79.2,86.04,119972900
03/18/2020,23:00,77.8,80.97,70.1,72.24,118930810
03/19/2020,23:00,74.94,90.4,71.69,85.53,150977300
03/20/2020,23:00,87.64,95.4,85.16,85.51,141427510
03/23/2020,23:00,86.72,88.4,82.1,86.86,82272745
03/24/2020,23:00,95.46,102.74,94.8,101,114475850
03/25/2020,23:00,109.05,111.4,102.22,107.85,106113725
03/26/2020,23:00,109.48,112,102.45,105.63,87110410
03/27/2020,23:00,101,105.16,98.81,102.87,71887040
03/30/2020,23:00,102.39,103.33,98.25,100.43,59990335
03/31/2020,23:00,100.25,108.59,99.4,104.8,88857425
04/01/2020,23:00,100.8,102.79,95.02,96.31,66765900
04/02/2020,23:00,96.21,98.85,89.28,90.89,99292135
04/03/2020,23:00,101.9,103.1,93.68,96,112810380
04/06/2020,23:00,102.24,104.2,99.59,103.25,74509180
04/07/2020,23:00,109,113,106.47,109.09,89598920
04/08/2020,23:00,110.84,111.44,106.67,109.77,63280120
04/09/2020,23:00,112.42,115.04,111.42,114.6,68250000
04/13/2020,23:00,118.03,130.4,116.11,130.19,112377105
04/14/2020,23:00,139.79,148.38,138.49,141.98,152882555
04/15/2020,23:00,148.4,150.63,142,145.97,117885005
04/16/2020,23:00,143.39,151.89,141.34,149.04,103289310
04/17/2020,23:00,154.46,154.99,149.53,150.78,65641185
04/20/2020,23:00,146.54,153.11,142.44,149.27,73732885
04/21/2020,23:00,146.02,150.67,134.76,137.34,101045465
04/22/2020,23:00,140.8,146.8,137.74,146.42,71124155
04/23/2020,23:00,145.52,146.8,140.63,141.13,66183485
04/24/2020,23:00,142.16,146.15,139.64,145.03,66188060
04/27/2020,23:00,147.52,159.9,147,159.75,103407210
04/28/2020,23:00,159.13,161,151.34,153.82,76109820
04/29/2020,23:00,158.03,160.64,156.63,160.1,81079910
04/30/2020,23:00,171.04,173.96,152.7,156.38,142359270
05/01/2020,23:00,151,154.55,136.61,140.26,162659035
05/04/2020,23:00,140.2,152.4,139.6,152.24,96185450
05/05/2020,23:00,157.96,159.78,152.44,153.64,84958280
05/06/2020,23:00,155.3,157.96,152.22,156.52,55616155
05/07/2020,23:00,155.44,159.28,154.47,156.01,57638430
05/08/2020,23:00,158.75,164.8,157.4,163.88,80650435
05/11/2020,23:00,158.1,164.8,157,162.26,82598005
05/12/2020,23:00,165.4,168.66,161.6,161.88,79534525
05/13/2020,23:00,164.17,165.2,152.66,158.19,95327455
05/14/2020,23:00,156,160.67,152.8,160.67,68410940
05/15/2020,23:00,158.07,161.01,157.31,159.83,52592140
05/18/2020,23:00,165.56,166.94,160.78,162.73,58490510
05/19/2020,23:00,163.03,164.41,161.22,161.6,48182610
05/20/2020,23:00,164.1,165.2,162.36,163.11,36546355
05/21/2020,23:00,163.2,166.5,159.2,165.52,61272920
05/22/2020,23:00,164.43,166.36,162.4,163.38,49937375
05/26/2020,23:00,166.9,166.92,163.14,163.77,40448680
05/27/2020,23:00,164.17,165.54,157,164.05,57747650
05/28/2020,23:00,162.7,164.95,160.34,161.16,36378870
05/29/2020,23:00,161.75,167,160.84,167,59062445
06/01/2020,23:00,171.6,179.8,170.82,179.62,75426485
06/02/2020,23:00,178.94,181.73,174.2,176.31,67827980
06/03/2020,23:00,177.62,179.59,176.02,176.59,39747345
06/04/2020,23:00,177.98,179.15,171.69,172.88,44438565
06/05/2020,23:00,175.57,177.3,173.24,177.13,39059585
06/08/2020,23:00,183.63,190,181.83,189.98,70873635
06/09/2020,23:00,188,190.89,184.79,188.13,56940770
06/10/2020,23:00,198.38,205.5,196.5,205.01,92817065
06/11/2020,23:00,198.04,203.79,194.4,194.57,79582410
06/12/2020,23:00,196,197.6,182.52,187.06,83816870
06/15/2020,23:00,183.56,199.77,181.7,198.18,78485890
06/16/2020,23:00,202.37,202.58,192.48,196.43,70255390
06/17/2020,23:00,197.54,201,196.51,198.36,49454000
06/18/2020,23:00,200.6,203.84,198.89,200.79,48759680
06/19/2020,23:00,202.56,203.19,198.27,200.18,43398745
06/22/2020,23:00,199.99,201.78,198,198.86,31811750
06/23/2020,23:00,199.78,202.4,198.8,200.36,31826355
06/24/2020,23:00,198.82,200.18,190.63,192.17,54797965
06/25/2020,23:00,190.85,197.2,187.43,197.2,46272745
06/26/2020,23:00,198.96,199,190.97,191.95,44274540
06/29/2020,23:00,193.8,202,189.7,201.87,45132020
06/30/2020,23:00,201.3,217.54,200.75,215.96,84592505
07/01/2020,23:00,216.6,227.07,216.1,223.93,66634480
07/02/2020,23:00,244.3,245.6,237.12,241.73,86250575
07/06/2020,23:00,255.34,275.56,253.21,274.32,102849320
07/07/2020,23:00,281,285.9,267.34,277.97,107448305
07/08/2020,23:00,281,283.45,262.27,273.18,81556560
07/09/2020,23:00,279.4,281.71,270.26,278.86,58587990
07/10/2020,23:00,279.2,309.78,275.2,308.93,116687765
07/13/2020,23:00,331.8,359,294.22,299.41,194926810
07/14/2020,23:00,311.2,318,286.2,303.36,117090700
07/15/2020,23:00,308.6,310,291.4,309.2,81839145
07/16/2020,23:00,295.43,306.34,293.2,300.13,71503925
07/17/2020,23:00,302.69,307.5,298,300.17,46649860
07/20/2020,23:00,303.8,330,297.6,328.6,85606835
07/21/2020,23:00,327.99,335,311.6,313.67,80786400
07/22/2020,23:00,319.8,325.28,312.4,318.47,70805400
07/23/2020,23:00,335.79,337.8,296.15,302.61,121642520
07/24/2020,23:00,283.2,293,273.31,283.4,96983080
07/27/2020,23:00,287,309.59,282.6,307.92,80243345
07/28/2020,23:00,300.8,312.94,294.88,295.3,79043500
07/29/2020,23:00,300.2,306.96,297.4,299.82,47134465
07/30/2020,23:00,297.6,302.65,294.2,297.5,38105195
07/31/2020,23:00,303,303.41,284.2,286.15,61234800
08/03/2020,23:00,289.84,301.96,288.88,297,44046730
08/04/2020,23:00,299,305.48,292.4,297.4,42074950
08/05/2020,23:00,298.6,299.97,293.66,297,24890075
08/06/2020,23:00,298.17,303.46,295.45,297.92,29961565
08/07/2020,23:00,299.91,299.95,283,290.54,44482100
08/10/2020,23:00,289.6,291.5,277.17,283.71,37611320
08/11/2020,23:00,279.2,284,273,274.88,43129170
08/12/2020,23:00,294,317,287,310.95,109494170
08/13/2020,23:00,322.2,330.24,313.45,324.2,102126540
08/14/2020,23:00,333,333.76,325.33,330.14,62888070
08/17/2020,23:00,335.4,369.17,334.57,367.13,101211615
08/18/2020,23:00,379.8,384.78,369.02,377.42,82372455
08/19/2020,23:00,373,382.2,368.24,375.71,61026655
08/20/2020,23:00,372.14,404.4,371.41,400.37,103058980
08/21/2020,23:00,408.95,419.1,405.01,410,107447795
08/24/2020,23:00,425.25,425.8,385.5,402.84,100318105
08/25/2020,23:00,394.98,405.59,393.6,404.67,53294465
08/26/2020,23:00,412,433.2,410.73,430.63,71196910
08/27/2020,23:00,436.09,459.12,428.5,447.75,118465215
08/28/2020,23:00,459.02,463.7,437.3,442.68,100405880
08/31/2020,23:00,444.61,500.14,440.11,498.32,118374406
09/01/2020,23:00,502.14,502.49,470.51,475.05,90119419
09/02/2020,23:00,478.99,479.04,405.12,447.37,96176128
09/03/2020,23:00,407.23,431.8,402,407,87596086
09/04/2020,23:00,402.81,428,372.02,418.32,110321885
09/08/2020,23:00,356,368.74,329.88,330.21,115465691
09/09/2020,23:00,356.6,369,341.51,366.28,79465769
09/10/2020,23:00,386.21,398.99,360.56,371.34,84930608
09/11/2020,23:00,381.94,382.5,360.5,372.72,60717459
09/14/2020,23:00,380.95,420,373.3,419.62,83020608
09/15/2020,23:00,436.56,461.94,430.7,449.76,97298228
09/16/2020,23:00,439.87,457.79,435.31,441.76,72546760
09/17/2020,23:00,415.6,437.79,408,423.43,76779163
09/18/2020,23:00,447.94,451,428.8,442.15,86406819
09/21/2020,23:00,447.1,455.68,407.07,449.39,109476800
09/22/2020,23:00,429.6,437.76,417.6,424.23,79580795
09/23/2020,23:00,405.16,412.15,375.88,380.36,95074176
09/24/2020,23:00,363.8,399.5,351.3,387.79,96561061
09/25/2020,23:00,393.47,408.73,391.3,407.34,67208459
09/28/2020,23:00,424.62,428.08,415.55,421.2,49719561
09/29/2020,23:00,416,428.5,411.6,419.07,50341404
09/30/2020,23:00,421.32,433.93,420.47,429.01,48145566
10/01/2020,23:00,440.76,448.88,434.42,448.16,50741454
10/02/2020,23:00,421.39,439.13,415,415.09,71430025
10/05/2020,23:00,423.35,433.64,419.33,425.68,44722786
10/06/2020,23:00,423.79,428.78,406.05,413.98,49146259
10/07/2020,23:00,419.87,429.9,413.85,425.3,43127709
10/08/2020,23:00,438.44,439,425.3,425.92,40421116
10/09/2020,23:00,430.13,434.59,426.46,434,28925656
10/12/2020,23:00,442,448.74,438.58,442.3,38791133
10/13/2020,23:00,443.35,448.89,436.6,446.65,34463665
10/14/2020,23:00,449.78,465.9,447.35,461.3,48045394
10/15/2020,23:00,450.31,456.57,442.5,448.88,35672354
10/16/2020,23:00,454.44,455.95,438.85,439.67,32775879
10/19/2020,23:00,446.24,447,428.87,430.83,36287843
10/20/2020,23:00,431.75,431.75,419.05,421.94,31656289
10/21/2020,23:00,422.7,432.95,421.25,422.64,32370461
10/22/2020,23:00,441.92,445.23,424.51,425.79,39993191
10/23/2020,23:00,421.84,422.89,407.38,420.63,33716980
10/26/2020,23:00,411.63,425.76,410,420.28,28239161
10/27/2020,23:00,423.76,430.5,420.1,424.68,22686506
10/28/2020,23:00,416.48,418.6,406,406.02,25451409
10/29/2020,23:00,409.96,418.06,406.46,410.83,22655308
10/30/2020,23:00,406.9,407.59,379.11,388.04,42587639
11/02/2020,23:00,394,406.98,392.3,400.51,29021118
11/03/2020,23:00,409.73,427.77,406.69,423.9,34351715
11/04/2020,23:00,430.62,435.4,417.1,420.98,32143057
11/05/2020,23:00,428.3,440,424,438.09,28414523
11/06/2020,23:00,436.1,436.57,424.28,429.95,21706014
11/09/2020,23:00,439.5,452.5,421,421.26,34833025
11/10/2020,23:00,420.09,420.09,396.03,410.36,30284224
11/11/2020,23:00,416.45,418.7,410.58,417.13,17357722
11/12/2020,23:00,415.05,423,409.52,411.76,19940500
11/13/2020,23:00,410.85,412.53,401.66,408.5,19830351
11/16/2020,23:00,408.93,412.45,404.09,408.09,26838635
11/17/2020,23:00,460.17,462,433.01,441.61,61188281
11/18/2020,23:00,448.35,496,443.5,486.64,78044024
11/19/2020,23:00,492,508.61,487.57,499.27,62475346
11/20/2020,23:00,497.99,502.5,489.06,489.61,32911922
11/23/2020,23:00,503.5,526,501.79,521.85,50260304
11/24/2020,23:00,540.4,559.99,526.2,555.38,53648494
11/25/2020,23:00,550,574,545.37,574,48930162
11/27/2020,23:00,581.16,598.78,578.45,585.76,37561078
11/30/2020,23:00,602.21,607.8,554.51,567.6,63003052
12/01/2020,23:00,597.23,597.85,572.05,584.76,40382832
12/02/2020,23:00,556.44,571.54,541.21,568.82,47775653
12/03/2020,23:00,590.02,598.97,582.43,593.38,42552003
12/04/2020,23:00,591.01,599.04,585.5,599.04,29401314
12/07/2020,23:00,604.92,648.79,603.05,641.76,56309709
12/08/2020,23:00,625.51,651.28,618.5,649.88,64265029
12/09/2020,23:00,653.69,654.32,588,604.48,71291190
12/10/2020,23:00,574.37,627.75,566.34,627.07,67083153
12/11/2020,23:00,615.01,624,596.8,609.99,46474974
12/14/2020,23:00,619,642.75,610.2,639.83,52040649
12/15/2020,23:00,643.28,646.9,623.8,633.25,45223559
12/16/2020,23:00,628.23,632.5,605,622.77,42095813
12/17/2020,23:00,628.19,658.82,619.5,655.9,56270144
12/18/2020,23:00,668.9,695,628.54,695,222126194
12/21/2020,23:00,666.24,668.5,646.07,649.86,58045264
12/22/2020,23:00,648,649.88,614.23,640.34,51861644
12/23/2020,23:00,632.2,651.5,622.57,645.98,33172972
12/24/2020,23:00,642.99,666.09,641,661.77,22865568
12/28/2020,23:00,674.51,681.4,660.8,663.69,32278561
12/29/2020,23:00,661,669.9,655,665.99,22910811
12/30/2020,23:00,672,696.6,668.36,694.78,42846021
12/31/2020,23:00,699.99,718.72,691.12,705.67,49649928
01/04/2021,23:00,719.46,744.49,717.19,729.77,48638189
01/05/2021,23:00,723.66,740.84,719.2,735.11,32245165
01/06/2021,23:00,758,774,749.1,755.98,44699965
01/07/2021,23:00,777.63,816.99,775.2,816.04,51498948
01/08/2021,23:00,856,884.49,838.39,880.02,75055528
01/11/2021,23:00,849.4,854.43,803.62,811.19,59554146
01/12/2021,23:00,831,868,827.34,849.44,46270720
01/13/2021,23:00,852.76,860.47,832,854.41,33312496
01/14/2021,23:00,843.39,863,838.75,845,31266327
01/15/2021,23:00,852,859.9,819.1,826.16,38777596
01/19/2021,23:00,837.8,850,833,844.55,25366980
01/20/2021,23:00,858.74,859.5,837.28,850.45,25665883
01/21/2021,23:00,855,855.72,841.42,844.99,20598133
01/22/2021,23:00,834.31,848,828.62,846.64,20066497
01/25/2021,23:00,855,900.4,838.82,880.8,41173397
01/26/2021,23:00,891.38,895.9,871.6,883.09,23131603
01/27/2021,23:00,870.35,891.5,858.66,864.16,27333955
01/28/2021,23:00,820,848,801,835.43,26378048
01/29/2021,23:00,830,842.41,780.1,793.53,34990754
02/01/2021,23:00,814.29,842,795.56,839.81,25391385
02/02/2021,23:00,844.68,880.5,842.2,872.79,24346213
02/03/2021,23:00,877.02,878.08,853.06,854.69,18343510
02/04/2021,23:00,855,856.5,833.42,849.99,15812661
02/05/2021,23:00,845,864.77,838.97,852.23,18566637
02/08/2021,23:00,869.67,877.77,854.75,863.42,20161719
02/09/2021,23:00,855.12,859.8,841.75,849.46,15157651
02/10/2021,23:00,843.64,844.82,800.02,804.82,36216090
02/11/2021,23:00,812.44,829.88,801.73,811.66,21622753
02/12/2021,23:00,801.26,817.33,785.33,816.12,23768313
02/16/2021,23:00,818,821,792.44,796.22,19802324
02/17/2021,23:00,779.09,799.84,762.01,798.15,26078898
02/18/2021,23:00,780.9,794.69,776.27,787.38,17957058
02/19/2021,23:00,795,796.79,777.37,781.3,18958255
